时间,城市,昵称,性别,等级,评分,评论
2018-09-21,南昌,zrZ238071404,0,1,5,喜欢顾森西，西是影视歌三栖去掉木字旁那个西、是太阳从西边出来那个西
2018-09-21,安庆,心殇llp,2,2,5,面对暴力我们虽不能以暴制暴，但是我们也绝不软弱
2018-09-21,增城,PKs126694909,0,5,5,希望校园不再有暴力，不错
2018-09-21,兰州,萝卜珍啊,0,2,5,"中午没人看，于是我一个人在电影院哭成狗……
电影给我留下来的是那片灰色的海和人生永远不得顺意的易遥……人生艰难困苦愿世间一切吉祥顺利"
2018-09-21,无锡,嗳儿.,2,3,5,"再见青春，再见灿烂的忧伤
再见青春，再见永恒的迷惘
悲伤的不行，压抑的不行！不管是演员的表现，还是细节场景的设计，都很能抓住看者的心，好看到爆炸，哭成🐶"
2018-09-21,普兰店,Ynf674393211,0,6,4,看的挺好的。
2018-09-21,阜阳,vivian_nani,0,2,5,非常悲伤，但是比书里好多了，关于校园暴力的，女主真的好惨，最后自杀了。。。。。。郭敬明说过:青春是一道明媚的忧伤。这部电影不错，排除小四的人品和私生活来看，电影票很值，演员虽然都不认识，但是演员的演技都很在线。。。。。。
2018-09-21,武汉,_sina99433264463,1,4,3,矫情的有点不真实。校园暴力主题很好，但是不够自然，《十三个原因》真的值得学习下
2018-09-21,惠州,海陽小生,1,2,5,震撼人心，能引起社会层面的思考，如何有力的杜绝校园欺凌。
2018-09-21,淄博,byu766572587,2,2,5,这么好的电影，人却很少
2018-09-21,宿州,夏辰薇wei,0,3,5,你为什么要怕鬼 你最害怕的应该是人心啊.
2018-09-21,盘锦,kJk939683773,0,3,5,我觉得挺好看，我特别喜欢，棒棒滴
2018-09-21,武汉,Itx588278298,2,2,4.5,"让悲伤逆流成河
哭的稀里哗啦的

你们以为的玩笑
都是压死骆驼的
最后一根稻草

你们的懦弱
导致你们人云亦云
请有点自己的思想

每个人都有自己的
人生剧本
请活好自己
别去参合别人的人生
"
2018-09-21,玉环市,cw1985623,0,4,4,剧情很好看，可是没有那种很感动想哭的感觉。值得学生一代以及当代的老师们思考！
2018-09-21,黄石,Xpp848301956,0,4,4,人生与出生无法选择，但是生活环境很重要，改变人生要付出血一般的代价，很残酷。光环总是有限，平凡才是人生。
2018-09-21,平度,ANG晶晶,2,1,5,早在宣传时就听说电影情节很感人，做好心理准备，却没想到我几乎从头哭到尾，哭的稀里哗啦，为什么就不能有人多点关爱易遥，她很可怜
2018-09-21,武汉,Fkg369243456,0,5,5,很好看的国产片，我喜欢这种
2018-09-21,新沂,七栀1314,2,2,5,还是挺值得看的 想表达的东西太多情节跨度挺大
2018-09-21,黄石,肺个,1,5,4,其实还可以。
2018-09-21,诸城,陈立农我爱你,0,2,5,很好看，悲伤逆流成河
2018-09-21,上海,骑着狮子裸奔,1,3,0.5,超乎意料的烂啊
2018-09-21,阜阳,BQy573956554,0,1,4,比我想象中的好，，新演员都很不错。去看的点就是唯一认识的唱歌的赵英博，悲伤逆流成河是我人生中看的第一部小说，，电影改了好多，不至于太悲伤，阳光了，
2018-09-21,抚州,dNv206277528,2,2,5,很现实  很触动
2018-09-21,扬州,迷藏,1,4,5,很棒的一部片子吧，妈妈那句带你看病去，真的没忍住
2018-09-21,重庆,西瓜的夏天,1,5,4,校园暴力不管是学校、教育局还是国家都必须重视起来，前半部分有点平淡，易遥跳河的那段看哭了。
2018-09-21,南阳,orphan虞,2,3,5,抛开原著，单说电影，真的好
2018-09-21,广州,zTo538657094,0,2,1,看了30分钟酣然入睡，睡爽了可以出去浪了！
2018-09-21,成都,嘿present,0,2,5,冲着男主去的 但是喜欢了男二 很暖 就是剧情很赶 不过挺好的
2018-09-21,景德镇,奇葩怪。,2,2,4.5,以为跟小说一样是个大悲剧，结果不是，但还是很好看  超级喜欢顾森西
2018-09-21,广州,终结者骚年,1,4,5,特别好看 很有感悟，就是看这个的都是女孩，哈哈
2018-09-21,启东,酉彤,2,2,4,万年悬念，给我们留了个幻想
2018-09-21,深圳,爱笑9286,2,1,5,我有两张今天罗湖区的这个电影票因为下午上班要开会耽误了电影票转卖有人要吗可以把取票码发给你们
2018-09-21,呼和浩特,ZaH201318395,0,4,3.5,前面节奏比较慢，但是从主角被欺凌开始故事展开速度变快，后面的内容也很密集，悲伤的本质有时候并不是悲伤本身而是在于你的悲伤被照耀在别人的幸福对比之下的惨烈，还有你藏在心里的幻想，这个结局对于这个名字来讲太过美好，不过为了主旋律也是应该的，可以体会出来深刻的悲伤也有漏出缝隙的希望。
2018-09-21,内江,yoB632767977,0,2,5,好看。。值得看一看  比小时代好看
2018-09-21,酒泉,EFE100115127,0,4,5,可以看的电影，
2018-09-21,沙河,凉白开,0,3,5,虽然没看过小说，但是看完电影泪奔~~(>_<)~~
2018-09-21,德州,半夏2969,1,3,4.5,希望你的青春可以没有校园暴力
2018-09-21,济南,UaX791413948,0,2,5,看前准备好纸巾
2018-09-21,南昌,GEm210624993,0,3,5,愿每个人的青春都能被温柔对待
2018-09-21,南京,！8917,2,2,5,很好看 哭到不行 当女主妈妈带女主去看病 男二的温暖搞笑 男主的冷漠 和最后指出所有人对自己作出的伤害 都让我哭到不行
2018-09-21,兴化,小怪兽沙沙,2,1,5,"校园欺凌这种题材确实比较少，值得一看
结合社会实际确实值得思考"
2018-09-21,霸州,王小媛。,0,3,5,还行，挺好看的
2018-09-21,郑州,不样风格,2,3,5,草鸡好看，哭成狗。
2018-09-21,兰州,陈曦2588,0,3,4,整体还不错，校园暴力事件还是比较多的，应该学校和家长都引起注意，唐小米本来就是被欺负的，最后却成了间接的杀人凶手，学生的心理建设真的不是小事。只是顾西湘的死好突兀，前后也不连贯，感觉就是为了死而死，看的不爽。影片最后那句话，很好:愿每个人的青春，都会被温柔以待……我在影院哭的稀里哗啦的，有感动，有难过，有痛苦
2018-09-21,江门,uAr374709275,2,1,5,10分给顾森西
2018-09-21,沈阳,不知，可否,1,3,1.5,不值得推荐去看
2018-09-21,成都,小乖冯,2,3,4,很好看，现在的中小学生霸凌已经成为常态化，有钱就是大爷，对于穷孩子来说无力反抗，这部电影给所有的孩子们警示，不是说孩子就可以逃脱法律的制裁，不是说孩子就可以肆意妄为，眼睛看到的不一定是事实。
2018-09-21,达州,i827493336,0,4,4,题材很好，但更重在煽情。表演亮眼，把青春的朦胧演得很到位！几位老演员就更不用说了！
2018-09-21,上海,SES857213874,0,3,5,嗯！哦！啊！
2018-09-21,济南,过字无言。,2,3,4.5,比预期的好看，不错的片子
2018-09-21,长沙,一浅·星光,1,3,5,愿所有在光亮的人，能照亮所有黑暗
2018-09-21,廊坊,烟雨16241,2,3,5,看完电影在想要怎么写评价。这部影片是校园凌霸的题材，主人公易瑶看起来是个集悲哀于一身的女孩，不论是来自于家庭还是学校。
2018-09-21,深圳,tth968700660,1,4,5,"母亲扇自己耳光的时候、拉着女儿说带你去看病
我有被感动 、不是妈妈不爱你 、是现实让我不知如何去爱、女主跳河、我也被感动到、没有血淋淋的生、哪有血淋淋的死、曾被欺负或是欺负过别人的、或许会更有体会、什么叫无辜和惶恐、什么叫抬不起头、什么叫无助。"
2018-09-21,襄阳,雨落蔚然76,2,1,5,真的很好看，悲伤的让人掉眼泪，果然名符其实。男主角赵英博好帅，男二好温暖。
2018-09-21,南昌,爱的力量。,2,4,5,好看。推荐一下
2018-09-21,临沂,离受,0,3,4,"顾湘森真的好可惜啊😣
心疼易遥😣"
2018-09-21,合肥,yhv761160853,0,2,5,很感人，具有震撼力的一部电影。
2018-09-21,霸州,顾颜,1,3,5,很好看  感动
2018-09-21,长春,Test,0,3,5,我觉得挺好的
2018-09-21,四会,pPF969363876,2,1,5,期待sunnee杨芸晴的推广曲《不哭》 电影《悲伤逆流成河》  祝票房大卖
2018-09-21,乌鲁木齐,OsK470427517,0,4,5,太好看了  看完有了很多感悟
2018-09-21,合肥,羽宝Daisy,2,3,5,追过小说 看电影格外有感受 小说很细腻 电影拍的也不错
2018-09-21,即墨,拔丝黄瓜,0,3,4,可以的，我们上学的时候要不就被别人欺负，要不就欺负别人，现在想想我心理承受能力真的太强了。给八分
2018-09-21,石家庄,y67890,2,4,4.5,让我想起了我在学校被人打的场景
2018-09-21,鞍山,万能阿凌,2,3,5,"郭敬明的电影果然还是黑暗的一面比较多。刚开始我真的很喜欢齐铭，老实点讲是始于他的颜值，后来剧情发展下去，易遥每一次难过，伤心，绝望，被人欺负的时候他都不在，甚至没有问过你怎么了？只是一个自私的人罢了。至于顾森西，一个超级好的暖男，一个愿意不亲信流言蜚语陪伴那个姑娘。
不过，校园的暴力，作为学生或者曾经的学生哪怕不是亲身经历，都会有所耳闻吧。"
2018-09-21,镇江,小太阳qu,2,3,4.5,"几个主演虽然都是95后  但是颜值和演技都在线  
看到妈妈拉着女一的手去医院的时候  泪崩了  
这部电影反映的校园暴力现象很真实  很有教育意义  
最后被“西湘”姐弟圈粉  小姐姐笑起来好治愈"
2018-09-21,北京,Hot789455763,0,2,5,这个电影是以校园欺凌为题材的，这个题材就说明了这个电影一定是个悲伤的故事，但是电影的悲伤因为顾森西对易遥的好又有了一点甜，可是最后因为顾森西的姐姐顾森湘的死，压断了易遥的最后一根稻草的是所有人包括顾森西还有齐铭，最后的结局虽然没有给一个明确的结局，但是易遥应该是死掉了，顾森西换了所学校，齐铭也搬走了，易遥妈妈也丢掉了按摩床，她们都离开了所有的与易遥有关系的地方，而唐小米也受到了她应该受到的惩罚。
2018-09-21,长沙,ZBH118145280,1,2,4.5,好看好看好看
2018-09-21,广州,lingling8903,2,2,4,校园欺凌事情真的很可怕，很痛心，希望不要再发生🙏
2018-09-21,杭州,HAr249924852,2,2,5,值得观看，感动，触动！
2018-09-21,潍坊,Carrie_I,0,4,5,从头至尾狠压抑的一部片子 看到易瑶 仿佛又看到了过去的那个我自己 虽然没有电影中的那么黑暗 但或多或少还是留下了阴影 校园暴力 你跟老师说没有用 老师不会管的 而他们只会更变本加厉 而这 仅仅是反映社会的一个影子 善良被人欺 愿你的善良里带点锋芒 但不管怎样 终究会有一个顾森西会带来所有的好💓（没看过小说 百度查了一下主角们都死了 电影里的结局貌似是只死了一个）
2018-09-21,济宁,lAx756573686,0,3,4,很好的呀！很好的呀！
2018-09-21,铜川,D奕直在这里,2,2,3.5,果然不能按照原著里来啊，只死了一人，易遥病改了，易遥妈职业改了，最后齐铭没死，还有许多设定也改了
2018-09-21,北京,sure5566,1,4,4,还可以，音乐不错
2018-09-21,深圳,HeaSting,2,2,5,本来是原著粉，感觉电影比小说更多了一层深意。特别打动人心，推荐广大在校青少年都看看吧。
2018-09-21,三河,誓言终究被打败,0,3,5,好看😁值得购买
2018-09-21,上海,URh164133803,0,4,4.5,女主角演的很好最后比较感人，看着流泪了…
2018-09-21,绍兴,可爱的郑,0,2,4,第一次看电影看哭😭了
2018-09-21,济南,原来12345,2,2,5,虽然知道会是什么故事发展，还是哭的没办法，也可能是我自己最近压抑太久了，想用这种方式发泄吧
2018-09-21,北京,zGd881835858,1,5,5,不错真的很不错。
2018-09-21,上海,cxb640994054,0,3,5,校园是个很大的社会。需要各方去爱惜。这样题材的电影，非常值得看。看哭了，一个大汉。
2018-09-21,通辽,cvP557373970,0,2,5,好看到爆炸，哭成狗🤭
2018-09-21,珠海,噬神者232,1,4,5,90后的世界总是有黑暗的那一面，家人顾不上，警察不死人就不管，也没有未成年保护法。
2018-09-21,淮安,孙玥琳,2,2,5,"演员选的真好，电影只有小说三分之一惨，原著死了四个电影只死一个。。非常手下留情了。。
已经很还原原著了。毕竟全还原播不了。。"
2018-09-21,荆州,祺祺很害怕,2,3,5,好看电影好看
2018-09-21,武汉,萝卜嘞854,1,5,4,一星预期入场，比预想中好太多。三点五星。比小说好上一万倍，缺点前半段剧情铺垫太拖，台词如垃圾文艺片一样不真实很矫情，甚至让我一度想离场。电影到后半段剧情通畅很多，配乐抒情加对校园暴力的diss让电影升华很多。放眼现实几乎每个班级都会有一个跟班级格格不入的人遭受班级大部分同学的语言暴力，那个人以后人格性格出现问题说话的人都是凶手。女主与母亲的感情戏也不脱节，就像电影的调味料很加分。落落拍电影的水平比郭矮子要好上太多。
2018-09-21,南宁,smith616,1,5,5,配乐完美，比心
2018-09-22,临沂,南方姑娘ffff,2,2,5,校园暴力   不知建议青年人看   还建议当了爸妈的人看     感触颇深
2018-09-22,珠海,Alone,2,3,5,眼睛哭肿了...
2018-09-22,北京,深情不如久伴灬,0,4,4.5,第一次看这种学校霸凌的故事，觉得真的很让人心疼，小女孩真的很无辜，有些台词是有点僵硬，唐小米真是不太会演戏吧，易瑶觉得表情很自然，顾森西也演的很好，齐铭还是可以看出青涩的，故事进度有点快，有的地方变化很快，偶尔会没接上。但是还是很喜欢，结局是好的真好啊
2018-09-22,西安,_qqf6k1437143306,0,2,4,耐人寻味的电影。
2018-09-22,天津,玖碍i,2,3,5,好的很。悲的很。
2018-09-22,南通,璐璐家丸子,2,4,5,总体来说很不错吧，很反应当今校园的情景
2018-09-22,阜阳,大宏1993517,0,2,3,还行。？。。，！
2018-09-22,郑州,Ffb926510465,0,2,4,怎么说呢！从揭露批判现在不被重视法律盲区的校园欺凌角度来说！是很大胆的！但是从电影直观感受来说给人“哦！接下来肯定是......”的感觉，好多老梗，情节老套，除此，演员演技还是值得肯定，尤其是几位老戏骨
2018-09-22,璧山,W.S.L.329,1,3,4.5,平静时让人想起自己读书时，社会的现实与冷漠导演表演得淋漓尽致。
2018-09-22,重庆,会飞的公鸡,1,4,4.5,不一样的校园片，格调很高
2018-09-22,北京,ImU730993439,0,4,5,很感人，看一个电影哭了好几次
2018-09-22,丽水,丫丫呀,2,2,5,"好看
好看
好看"
2018-09-22,沭阳,青春如我。,1,3,5,今年为数不多的好电影！！！！！！
2018-09-22,余姚,zmt8416,2,2,5,天底下没有真狠毒的亲妈，只是有些事是迫不得已。受欺负不要忍，要学会反击！还意外科普了一常识，女性病不单单是与异性接触引起，还可能是间接性引起，所以公共浴室、宾馆少去，毛巾只用自己的，他人用过就不要用了。
2018-09-22,大庆,阿伟4540,2,5,5,看完真的很悲伤
2018-09-22,大同,鱼不卖16,0,2,0.5,没看，感觉电影有问题，一百度原来是郭侏儒写的，来个差评
2018-09-22,长沙,pFc773224407,0,3,5,校园暴力确实需要社会关注，但是更重要的是家庭教育，家长对孩子的关心，做孩子的朋友。
2018-09-22,哈尔滨,sUp650191322,1,2,5,特别感人，感触很深…
2018-09-22,延边,BcE818269378,0,3,4,感觉还是差那么一点儿，不够深刻。
2018-09-22,南京,笨笨的小猪335,1,2,4,女朋友看哭了
2018-09-22,宜昌,iAn208511555,0,2,5,[cp]#电影悲伤逆流成河# 如果齐铭你可以站在易遥的角度想一想，如果那个几次看到易遥受伤害的女生在一开始就勇敢的站出来，如果唐小米再善良一点，如果全校同学在海边有一个冲过去把易遥拉回来，那么一切是不是会不一样。易遥妈妈虽然总是骂她女儿是赔钱货，总是打，总是骂，虽然她妈妈挣得钱都有些不光彩，但是我看到瑶瑶学费几个字时，眼眶瞬间就湿了，妈妈牵着她的手去治病，顾森西带她去散心，最后奋不顾身的跳下去就她，上岸后他看易遥那心痛的表情。。。。。。我不知道我在说什么了，如果难过，那就放声哭出来吧[/cp]
2018-09-22,焦作,lrh769006375,1,2,5,观感：人言可畏。
2018-09-22,漯河,YRn508553350,0,3,5,这部影片给我的触动非常深!它让我第一次见到了校园暴力是有多可怕！现在我只想说一句，愿我们能为那些不敢反抗的人发声！！
2018-09-22,南昌,vLB699534867,0,4,5,应该说没让我失望吧 🎬
2018-09-22,哈尔滨,lyc59501,0,5,4.5,很不错的电影，看完觉得很压抑，很喜欢！
2018-09-22,平湖,Kom402192757,0,2,5,阿四，奔偏啦
2018-09-22,张家口,刪蒢记憶8123,2,3,2.5,一般般吧，有警示作用
2018-09-22,无锡,wzu809067395,2,2,5,人言可畏。。
2018-09-22,泸州,飞飞2535,0,3,3.5,"居然是很正能量的一部剧
难道我高中时候看了一部假小说
小说中间的情节记不太清了
但是  最后女主从楼上跳下来死在男主面前
我记得很清楚啊
电影中心思想这么符合社会主义核心价值观
原著党表示很无奈啊"
2018-09-22,日照,Moment潇,0,3,1,怎么说呢  没有想象中这么好看  不过校园暴力确实需要重视！
2018-09-22,武汉,yzK243218788,0,2,5,拍的很好，剧情，摄影，人设，都很好，为赵英博的颜打call！！就是演技还待提高哈哈哈，男二的人设太爱了，每次一说话全场都要笑。泪点后期很密集，最大的感受就是虽然没经历过校园暴力，但拍得太有代入感，看完久久回不来神
2018-09-22,西安,tvW869652456,0,2,5,很真实的反应了，那些年的校园欺负！
2018-09-22,咸阳,myv569597869,0,3,3.5,对得起名字，悲伤逆流成河。女主演技不错，最后一段很有爆发力。男主像个渣男。
2018-09-22,烟台,Linmyheart,1,2,3,女主易遥演技不错，男主齐铭没有太多存在感了，而且赵英博演技是真烂，在河边和易遥推搡的齐铭不是难过的表情，竟是微笑emm…顾森西真的是一束光啊，不被凡俗沾染。顾森西小姐姐好美，爱上她了。
2018-09-22,南通,尘世不流年,0,2,4.5,记得初中看小说的时候被虐的不要不要的。还好电影结局还算圆满，朋友看了以后感同身受，校园暴力只有经历过的人才懂，希望那些饱受摧残的同学未来也能如电影里一样走向光明。
2018-09-22,银川,Kxf968440662,2,2,5,带孩子看，很有意义
2018-09-22,大连,hhE412543694,2,2,5,"戳中我的泪点 后段一直在哭 真的挺值得看 现实生活中 的确存在这样的问题 
愿每个人的青春 都被温柔对待"
2018-09-22,准格尔旗,浪姬869,2,1,5,"看完《悲伤逆流成河》蛮压抑的。
为了看电影昨天熬夜恶补了小说。小四写的是真的好。书中的易遥黑暗，倔强，茫然。生活给了她太多的不幸。十六岁，花一样的年纪。却被母亲骂赔钱货，被同学骂一百块，连父亲都叫她不要来找自己。顾西森让她去死，齐铭让她自首。十六岁的少女终究选择跳楼自杀。书中的乔铭是易遥的希望，是支撑易遥活下去的支柱，却在最后成了压死骆驼的最后一根稻草。
电影改编了很多书中的东西，却依然很压抑。易遥的母亲明白是因为自己的疏忽导致易遥得病后，那一巴掌和那句“妈妈带你去看病”真的很戳我。或许母亲也是爱着易遥的吧，不然怎么会在自己接客的时候不让易遥回家，把她的照片，东西藏好。而顾西森则是易遥生命中的一道曙光，他教会了易遥反抗。而乔铭依旧是易遥活下去的希望。最后结局易遥的那段控诉真的很戳人“你们以后回想起来，只会说我怎么不记得了。你们对自己做过的事情只会说我开玩笑的而已。你们以后过的舒舒服服，而我却不能忘记你们现在是怎样对我。我忘不掉你们用打火机烧头发，忘不掉你们喂我吃垃圾。我不知道杀死顾西湘的凶手是谁，但杀死我的凶手你们都知道是谁”当易遥站到河边的时候，同学们也都是大喊你跳啊，直到易遥跳下去，他们才意识到自己的做法造成了多大的伤害。电影版的结局并没有书中的那么悲惨。易遥最终还是被救了下来。唐小米最终还是被判了行。所有人也都开始了新的生活。
拒绝校园欺凌，拒绝语言暴力，不要把暴力当做玩笑。你永远不知道，你所谓的玩笑会对别人造成多大的伤害。"
2018-09-22,郴州,ttE215023741,2,2,4.5,很感动，希望这个世界少点霸凌，多点关爱，相信还是好人多！
2018-09-22,海口,番茄想不到叫什么,0,4,5,泪水流成河了
2018-09-22,义乌,QJH467107848,2,2,5,确实很好看。
2018-09-22,北京,奶泡姑娘,0,2,4.5,"今天看了两部  上午的是黄金兄弟  感觉这部比较好看  很有感触  
喜欢顾森西 好想身边也有一个顾森西那样的太阳  很暖  心疼森湘小姐姐 很无辜受害  好喜欢他们西湘姐弟"
2018-09-22,长沙,UUK558206233,0,3,5,真的好看。准备好纸巾。
2018-09-22,新乡,_qqkdc1437459791,2,4,4.5,张韶涵唱插曲。也是细心满分。  挺好看的。
2018-09-22,深圳,mdx769208219,0,3,5,演员演技把握的很好剧情也很好，看的过程基本都在哭，旁边的人都看了我好几次😅希望这种情况在现实中不要有
2018-09-22,沈阳,yMX440381849,0,4,5,人性太黑暗了
2018-09-22,上饶,迷路943,1,2,5,好看好看。非常的有感触。最后易瑶跳河那段非常的……
2018-09-22,深圳,Bom.a,1,3,1.5,是我期望太高了么，前面快睡着了，中间节奏带的乱的一批，诠释感受跟读小说台词一样生硬，爱情也是对白都是读台词的，不是悲伤逆流成河，是尬硬灌穿大海！！
2018-09-22,银川,cFC294560842,0,2,5,好看！！！！！
2018-09-22,成都,等jJ待,0,2,5,现在已经回到家。安静的打字。当初看小说苦的稀里哗啦，女主男主自杀而死，相对于电影改动跟喜欢一些，结局没有那么凄惨，顾森西的阳光带给我易遥希望，暖着他
2018-09-22,芜湖,心野路Zi正、,2,3,5,特别好看。一定要带纸巾。希望不要再有校园暴力网络暴力。希望每个人都可以善良。希望每个人都能够换位思考。希望每个人的青春都被温柔以待。
2018-09-22,渭南,旧梦离裳549,2,1,5,看过原著之后就难受了好几天，觉得电影拍的真的很好，女主把易瑶这个角色发挥的淋漓尽致。我哭了三次，妆都哭花了，建议多带点纸。尤其是快结局的部分
2018-09-22,呼和浩特,Havana1998,0,2,5,我是看过小说来看的电影  感觉剧情和原著一样好看 女生记得带纸去
2018-09-22,句容,筱一婷,2,5,4.5,虽然没有看过原著，但是剧情有打动我，哭的稀里哗啦！
2018-09-22,郑州,aZc947641787,2,3,4.5,这部电影真不错 棒棒哒
2018-09-22,如皋,大D哥哥i,0,2,4.5,少一分是因为害老子哭了！
2018-09-22,抚州,边白,0,3,5,很好看(╥╯﹏╰╥)ง
2018-09-22,抚州,鱼泡泡0229,2,4,5,挺好看吧，看哭了不过觉得导演把女主拍的好**，没用，警察也是没脑子，一个短信就认定罪人，都不带转的吗？脑子，还有齐鸣，这种男生也是没鬼用，从小一起长大的玩伴，人品难道都不能确定吗。不信任她，她被同学欺负也不会站出来说话～校园欺凌，我觉得完全是跟自己有关系，你逃避人家就越觉得好欺负，你凶一点，理直气壮的跟人家较量，还有人会欺负你吗？什么事情说开让别人误解你变成理解你，不就好了？自己都弱暴了还指望别人理解你同情你吗？不熟悉的人就容易误解你
2018-09-22,温州,深碍如长风,2,2,5,把我看哭了。电影拍的很好。很伤感
2018-09-22,大连,oIr114726000,0,2,5,特别好看全程都很唯美，也很现实
2018-09-22,吉林,布布布匠丞,0,2,4,听了sunnee的推广曲去看的，电影寓意很好，女主演技在线
2018-09-22,重庆,百無禁忌0211,0,2,5,和原著很多地方不一样，本来以为要失望了，但是改动之后也还能接受，毕竟要过审，好多黑暗面和细节没有体现出来，原著中讲的是高中生的爱恨情仇，电影改编之后突出了校园暴力这个主题，其实我还是想多看下齐铭和易遥之间的那种细微敏感的关系，没有体现出来原著中的感觉，看电影觉得齐铭很渣啊没有一次站在易遥这边，但是电影中的顾森西更加讨喜了，小说里面都特别喜欢，女生都喜欢给自己出头的吧，而不是让你忍让，像个小太阳一样，初三看的这本书，现在拍成电影了，想着一定要来看，其实小四的书真的挺好看的，总而言之有一点点失望但是还是值得推荐。
2018-09-22,吴江,Bubble936,2,3,4.5,感谢落落导演给了个美好的结尾，有虐有喜，恰到好处。愿一切都被温柔以待。
2018-09-22,湘西,raW742670872,0,3,4,挺不错的  推荐 有泪有笑有温暖  
2018-09-22,武汉,ppB150235598,0,2,5,超级好看哈哈
2018-09-22,贵阳,行云流水99025,2,1,5,工厂里面生活的人都知道:当企业效益好的时候，那就是一个世外桃源，不与外界往来，却能解决生活方方面面的问题，有的家庭甚至经济富裕。但是，一旦其效益不好，那些无一技之长的辅助工就惨了:最起码的谋生手段都没有，所以就出现了许多厂里面走出去的打工妹要么傍大款要么就进卡拉ok卖唱或卖跳从事一些与青春相关的职业。影片《悲惨逆流的长河》就是在这样的背景下产生的:一个单身妈妈，没有什么生活的本领，心里只想到要养小孩，给小孩攒学费，就从事一些按摩的可能还带有一点色情服务活。妈妈什么都想到了:怎样保护自己的孩子符，让孩子不到时间点不能回家，可就是忽了一条毛巾，因为这条毛巾，让小孩染上了病，小又遇到一个从其他学校
2018-09-22,广州,小萌怪不兽,1,4,4.5,吐槽剧情，后面有点瞎，女主从头到尾一点团队都没有，而且全场踩她，后面男一，男二还不相信他。你见过有这么做作的狼人吗。
2018-09-22,内江,可爱一个蒲,2,2,4.5,感动  哭……
2018-09-22,成都,icV820633031,0,2,5,我觉得很好看啊，很有感触！
2018-09-22,烟台,呼啦宝宝,0,2,4,很符合当下年轻人，讽刺那些跟屁虫，怕被欺负，胆小懦弱，而去欺负那些无法反抗，更胆小的人，人性就是如此。喜欢邬君梅，把一个母亲的艰辛和不易，表现的淋漓尽致。
2018-09-22,西安,ㅤ,0,4,5,生而为人 还请善良
2018-09-22,杭州,mlr521884770,0,2,5,"小说比电影更悲伤

很羡慕那些被温柔对待长大的人"
2018-09-22,长沙,梁顺之,0,4,5,还是不错的！
2018-09-22,孝感,KRS977590658,0,2,4.5,看完后心情超级差！
2018-09-22,包头,wh920723,0,2,4.5,影院干净！交通方便！
2018-09-22,宁波,AVK988686393,0,4,4,校园其实是社会的缩影，孩子教育、宣传不给力值得我们深思。
2018-09-22,伊宁,Eddie773,2,2,4.5,挺沉重的吧这部，易遥她妈真的很不容易，很心疼易遥很心疼无故遭受校园暴力的人。
2018-09-22,镇江,nmk939235011,1,3,4,还不错，挺写实，有点伤感，总体不错
2018-09-22,抚州,jXs662798242,0,3,4.5,很感人 顾森西太好了 呜呜呜 真的悲伤逆流成河
2018-09-22,泰州,若雪星,2,2,5,特别好   女主的演技是绝了   真的很到位   看完了之后还个环节里面  很有意义的一部电影
2018-09-22,金坛,lkA216492700,2,4,5,喜欢 真的喜欢
2018-09-22,东莞,cyc123118,2,2,2.5,一般般，没小说好看。
2018-09-22,兰州,_qqf7h1372915633,0,3,4.5,作为家长，感觉这部片子拍出了现实，很值得青春期的孩子看。
2018-09-22,西安,枫瑶水莅,0,2,4.5,演员的演技不谈，题材是引人深思的。我不曾是行凶者，却曾是受害者和视而不见的帮凶。
2018-09-22,淮安,黄橙橙karry,0,2,4.5,很好看的，不错啊
2018-09-22,西安,陈君芳635,2,3,5,适合中学生及老师看看
2018-09-22,绵阳,爱妮妮L,2,2,4.5,备好纸巾   。
2018-09-22,余姚,南伊的曦,2,2,5,"世界真的从不曾温柔待过我们
是不是当事情无法挽回时才能让你们
感到愧疚"
2018-09-22,盐城,kFt923737705,2,3,5,控诉校园暴力，很值得观看，是一个美好的结局，稍微和小说有点不一样。
2018-09-22,长沙,小琪970924,0,1,5,很好看的一部电影，很有教育意义，愿所有的青春  都被温暖对待
2018-09-22,天津,大梅梅,2,5,4.5,确实不错，虽说有夸张的成分，但是展露出校园比较真实的一面。和孩子们将来到社会发展的前景。校园也是一种社会的提现。
2018-09-22,杭州,toK146370546,2,2,5,你们巴不得世界上多死一个人  因为你们的生活真的很无聊
2018-09-22,舟山,Sunsanhuoma619,2,3,4.5,愿每个青春都能被温柔以待
2018-09-22,平舆,丧5142,2,0,5,没有看过原著的人可以去先看看原著，电影给了易遥一个美好的结局，可是原著的结局是顾森湘因为校园暴力而在家割腕自杀，死前给齐铭发了一句话“我讨厌这个肮脏的世界”，顾森西看到姐姐手机上的短信以为是易遥害死自己姐姐的，于是就让易遥去自首，易遥以为齐铭会相信她，可没想到电话接通的第一句话就是“你去自首吧！”最扎心的是小说中有一页都是“你去死”这三个字，易遥最后选择跳楼来结束这场因为校园暴力而开始的故事，齐铭最后选择打开了煤气罐自杀，原著小说真的是很悲，几乎是以泪洗面，不过还好电影给了他们一个幸福的结局
2018-09-22,新乡,郑帝元的迷妹,0,2,3.5,校园欺凌不管是从前还是现在每个学生所在的学校都会多少存在这种现象，我们要做到的是不参与但是要为弱者发声，小说的结局很惨，电影结尾改编的还算不错，没有那么悲伤，愿所有青春都被温暖包围～
